"Address","Total Shares","Total Pool Percent","ZCL Amount","BTCP Amount"
"t3hmJ8jNRWaomcs8Q8N27QsCtMJmkies3qR","21887557.602572467","0.26%","76.43755425674591","165.59262187"
"t1P5EJMcgNke4c3ie1k4Mz4W4zMZvGsESex","21187538.40294209","0.25%","73.02122584668727","158.19156379"
"t1UrVn582G9JwQsUy1xfQKUzanDxddV6vhy","14764126.137130177","0.25%","72.90731081379981","157.94478079"
"t1LRUVNKwjMnvdwi5ZvP77iQKMJ3p3z4Hg2","21691787.63512861","0.24%","69.4551318839736","150.46605694"
"t1bw2ZUUBoSk4RgX1guPDtEJ94CVGrWnqvu","25309462.369697824","0.24%","68.7330928424365","148.90184758"
"t1ZQZoTCF5UhfpZHYQeyUEnFs2a7VMVskox","15213030.477984205","0.23%","66.84641131533742","144.81458257"
"t1LCYyDV9cU1rqaTz9ZKchdsTFVUb4YtkUg","9808174.936215075","0.23%","65.07521140561394","140.97749438"
"t1UfRWUGcbZBxuWZXEbsTnBQXCdsfqNVzhN","17901014.518967748","0.23%","65.04004324761172","140.90130686"
"t1U6Tht6BgoystAquhSrNRaNkJT8R9npbR2","9787188.898442829","0.22%","64.7840419220403","140.34671127"
"t1ZjmvLR2sWqvCjhesU11FGZXLejAmpYY1d","9711867.242363261","0.22%","64.66759443694308","140.09444202"
"t1MJhoScFruRz398Jdw8eKC6XDVULpGjVcj","9783576.396153878","0.22%","64.66188874866707","140.08208134"
"t1UJ6pWCGoFo1XtP3tQVq4d4otHYDhKw79h","17282337.802847233","0.22%","64.16173255641034","138.99855407"
"t1XevvGyW4HDGv8QmYCabz8QssfV92qt8ti","9643438.147785231","0.22%","64.09817187020352","138.86085760"
"t1YYVDVCXLo5TQRP843rcxFmSmMxS16PMV9","9702549.912348151","0.22%","64.06687422002659","138.79305507"
"t1ULu9BJ29h37MrtE3tndP2o2dpNPD5Znqd","9665993.850770725","0.22%","63.83967170921775","138.30084859"
"t1ZhYgsQi8AYCBWFAVA2eXCkvsQ1WqUEFjh","9588377.781049883","0.22%","63.660972568925466","137.91371874"
"t1SbPmstrYQy9zkFWwkpFxsBbhLEy8JkDTS","9808697.663870528","0.22%","63.5964739420563","137.77399034"
"t1K4PVbo2CXCR18gHFeNJ7Ee2uC9mvmuNjD","9690833.906533457","0.22%","63.215967562875676","136.94966976"
"t1aAqERwm1fvpXtzY4QeqXVHseREx3PAUFE","9507952.646515043","0.22%","63.19345322583623","136.90089520"
"t1K1oGmBFciJLCwsu8xZogfEKgnyr9wmEbA","9567627.400990104","0.22%","62.96633630097063","136.40887414"
"t1dy7V7WjP1w3ZzAZzxyJAqhfwFqbndej81","9464607.676888252","0.22%","62.796994151453134","136.04201506"
"t1ZdMRFr5EFNKPPU47JNLzJi8zMQi5FEm2n","9404827.224276718","0.22%","62.30857770875012","134.98392051"
"t1SmSJJzHsnuawqP6JVJ8xtLsh2fsn53934","9342106.545945957","0.21%","61.89880678534309","134.09620187"
"t1fmFRSSoHVw8R6xv2axkYHWwhprF6UD5nj","9050087.0887446","0.21%","61.887731847136244","134.07220937"
"t1gYPYNdKRfAkUaRnfQTEse2FyfXggt2bTt","16865343.15152075","0.21%","61.274527891794165","132.74377793"
"t1Twk41Byjp7QohhBKevFhiMd34PPnuurCw","9288310.452888174","0.21%","60.68553933261557","131.46780618"
"t1g2QGMEGHSEC68fsxyKoF3wkRkvp3oq64U","9277207.206366174","0.21%","60.569193400536754","131.21575693"
"t1MpVgp2zC5KgzeK5JUtg6bFBhqRUYipxbG","11748577.704497173","0.21%","60.27421966654012","130.57673238"
"t1SiSoqpeBdEJeBLkNDPtNzv36bZ5N3x7Az","6316078.000243145","0.21%","59.37258892118294","128.62345953"
"t1MH5JB7fLibD43Rmy74yJUw5vQhY3RNAcV","14914350.918720905","0.21%","59.292112918641415","128.44911811"
"t1SMQZcGcRS2NT3pRedsytcuc9HTtZ3zK9D","14258568.337359542","0.21%","59.19016015370257","128.22824990"
"t1PauCfZsCrr3MpuBus6EF4Cmccz65BViS7","14403403.31211885","0.20%","58.507286755944854","126.74888812"
"t1gzZtwXQWZ61sAPiKcYJce7KLomt8RNt3X","12761761.12751441","0.20%","58.149731255201466","125.97428781"
"t1aTjVQYYQwHMceFjUVUnJo1otzAQf8vhpa","6435179.14216493","0.20%","57.12766004182093","123.76009541"
"t1Ky1RQZ2uBVBErYT37qjBBqc6uhWsUvdsq","6305200.970067273","0.20%","56.72229579367705","122.88192330"
"t1XPwvoyLUmD2BDUwVnpKQwEvhfPRR6ugnt","6301131.901357126","0.20%","56.639076241400986","122.70163830"
